ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6764437,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,350.4,812.0,,1970,790000.0,nai significa d.o.o.
6820988,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,145.5,526.0,,2006,870000.0,"aeon nepremičnine, d.o.o."
6838633,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,152.71,314.0,p+1,2024,541000.0,baza agencija d.o.o.
6811684,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,152.71,314.0,p+1,2024,543000.0,baza agencija d.o.o.
6779211,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,119.0,,7,1933,850000.0,rocco nepremičnine d.o.o.
6818903,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,119.0,,7,1933,850000.0,rocco nepremičnine d.o.o.
6783036,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,195.22,,5,2023,2200000.0,ceres nepremičnine d.o.o.
6835389,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,64.0,,3/10,1960,295000.0,pak invest d.o.o.
6837378,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,61.4,,1/4,1965,240000.0,perfekt b d.o.o.
6832814,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,63.8,,p/3,2021,469000.0,"loox nepremičnine, mateja funtek derča s.p."
